MethodJson	MethodSignature	FanInJsons	FanInSignatures	Accurate?	DiscardDays
3110.json	org.openmrs.OrderSet.getId()	noCall	noCall	true	847
4803.json	org.openmrs.api.db.hibernate.DbSession.evict(java.lang.Object)	noCall	noCall	true	1167
2375.json	org.openmrs.BaseCustomizableMetadata.addAttribute(A)	2376.json	org.openmrs.BaseCustomizableMetadata.setAttribute(A)	true	2527
2010.json	org.openmrs.OrderSetMember.getOrderTemplateType()	noCall	noCall	true	847
5962.json	org.openmrs.api.db.LoginCredential.getHashedPassword()	5972.json	org.openmrs.api.db.LoginCredential.checkPassword(java.lang.String)	true	3359
3386.json	org.openmrs.ConceptSource.getUniqueId()	noCall	noCall	true	653
4950.json	org.openmrs.api.db.hibernate.HibernateConceptDAO.ConceptIterator.next()	noCall	noCall	true	3569
346.json	org.openmrs.Person.addAttribute(org.openmrs.PersonAttribute)	6596.json,6600.json	org.openmrs.api.impl.PatientServiceImpl.mergePersonAttributes(org.openmrs.Patient, org.openmrs.Patient, org.openmrs.person.PersonMergeLogData),org.openmrs.api.impl.PatientServiceImpl.mergeAddresses(org.openmrs.Patient, org.openmrs.Patient, org.openmrs.person.PersonMergeLogData)	false	4088
6684.json	org.openmrs.api.impl.PersonServiceImpl.getRelationshipMap(org.openmrs.RelationshipType)	noCall	noCall	true	4460
3408.json	org.openmrs.BaseConceptMap.setCreator(org.openmrs.User)	noCall	noCall	true	4460
688.json	org.openmrs.Allergen.isSameAllergen(org.openmrs.Allergen)	2978.json	org.openmrs.Allergy.hasSameAllergen(org.openmrs.Allergy)	true	1015
410.json	org.openmrs.propertyeditor.LocationAttributeTypeEditor.getObjectById(java.lang.Integer)	noCall	noCall	true	438
7084.json	org.openmrs.api.context.ServiceContext.setDiagnosisService(org.openmrs.api.DiagnosisService)	noCall	noCall	true	125
1337.json	org.openmrs.module.ModuleFactory.getStartedModules()	5566.json,3805.json,82.json,1357.json,5565.json,1333.json,null,1392.json,1364.json,1372.json,2257.json,1391.json,1363.json	org.openmrs.api.db.hibernate.HibernateSessionFactoryBean.getModulePackagesWithMappedClasses(),org.openmrs.annotation.OpenmrsProfileExcludeFilter.matchOpenmrsProfileAttributes(java.util.Map<java.lang.String, java.lang.Object>),org.openmrs.web.DispatcherServlet.reInitFrameworkServlet(),org.openmrs.module.ModuleFactory.stopModule(org.openmrs.module.Module, boolean, boolean),org.openmrs.api.db.hibernate.HibernateSessionFactoryBean.getModuleMappingResources(),org.openmrs.module.ModuleFactory.getMissingRequiredModules(org.openmrs.module.Module),org.openmrs.module.ModuleFactory.getStartedModulesInOrder(),org.openmrs.module.ModuleUtil.shutdown(),org.openmrs.module.ModuleFactory.getGlobalProperties(),org.openmrs.module.ModuleFactory.requiredModulesStarted(org.openmrs.module.Module),org.openmrs.messagesource.impl.MutableResourceBundleMessageSource.setBasenames(java.lang.String...),org.openmrs.module.ModuleUtil.startup(java.util.Properties),org.openmrs.module.ModuleFactory.getPrivileges()	false	4088
5230.json	org.openmrs.api.db.hibernate.HibernateVisitDAO.getVisitAttributeByUuid(java.lang.String)	noCall	noCall	true	2641
6605.json	org.openmrs.api.impl.PatientServiceImpl.saveCauseOfDeathObs(org.openmrs.Patient, java.util.Date, org.openmrs.Concept, java.lang.String)	null	org.openmrs.api.impl.PatientServiceImpl.processDeath(org.openmrs.Patient, java.util.Date, org.openmrs.Concept, java.lang.String)	true	4088
1929.json	org.openmrs.Cohort.isEmpty()	noCall	noCall	true	3692
3374.json	org.openmrs.BaseChangeableOpenmrsMetadata.getDateChanged()	null	org.openmrs.api.impl.ProgramWorkflowServiceImpl.unretireProgram(org.openmrs.Program)	true	249
1541.json	org.openmrs.obs.handler.AbstractHandler.purgeComplexData(org.openmrs.Obs)	noCall	noCall	true	3500
418.json	org.openmrs.propertyeditor.PatientEditor.getObjectByUuid(java.lang.String)	noCall	noCall	true	438
7259.json	org.openmrs.util.DatabaseUpdater.getLiquibase(java.lang.String, java.lang.ClassLoader)	7253.json,7275.json,7281.json,7280.json,null	org.openmrs.util.DatabaseUpdater.executeChangelog(java.lang.String, java.lang.String, java.util.Map<java.lang.String, java.lang.Object>, org.openmrs.util.DatabaseUpdater.ChangeSetExecutorCallback, java.lang.ClassLoader),org.openmrs.util.DatabaseUpdater.getUnrunDatabaseChanges(java.lang.String...),org.openmrs.util.DatabaseUpdater.isLocked(),org.openmrs.util.DatabaseUpdater.releaseDatabaseLock(),org.openmrs.util.DatabaseUpdater.getDatabaseChanges()	true	3483
